Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
JC_exteriorHouseDoorSideLightSingleOak_NoBarricade,blocks,block,,,White Exterior House Side Light Single Door (No Barricade),,"Weiße Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa blanca (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, blanche (Sans Barrière)",Porta laterale singola leggera esterna bianca (Senza Barriera),住宅用室外ドア（白・サイド照明・シングル） (バリケードなし),흰색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – białe, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Белая одинарная входная дверь с окнами по бокам (Без Баррикады),Beyaz Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),白色室外侧光单开门 (无障碍),白色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSingleOrange_NoBarricade,blocks,block,,,Orange Exterior House Side Light Single Door (No Barricade),,"Orangee Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa Naranja (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, Orangehe (Sans Barrière)",Porta laterale singola leggera esterna Arancione (Senza Barriera),住宅用室外ドア（オレンジ・サイド照明・シングル） (バリケードなし),오렌지색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – Pomarańczowy, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Оранжевый одинарная входная дверь с окнами по бокам (Без Баррикады),Turuncu Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),橙色室外侧光单开门 (无障碍),橙色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSinglePink_NoBarricade,blocks,block,,,Pink Exterior House Side Light Single Door (No Barricade),,"Rosae Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa Rosa (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, Rosehe (Sans Barrière)",Porta laterale singola leggera esterna Rosa (Senza Barriera),住宅用室外ドア（ピンク・サイド照明・シングル） (バリケードなし),분홍색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – Różowy, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Розовый одинарная входная дверь с окнами по бокам (Без Баррикады),Pembe Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),粉色室外侧光单开门 (无障碍),粉紅色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSinglePurple_NoBarricade,blocks,block,,,Purple Exterior House Side Light Single Door (No Barricade),,"Lilae Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa Púrpura (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, Violethe (Sans Barrière)",Porta laterale singola leggera esterna Viola (Senza Barriera),住宅用室外ドア（紫・サイド照明・シングル） (バリケードなし),보라색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – Fioletowy, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Фиолетовый одинарная входная дверь с окнами по бокам (Без Баррикады),Mor Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),紫色室外侧光单开门 (无障碍),紫色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSingleRed_NoBarricade,blocks,block,,,Red Exterior House Side Light Single Door (No Barricade),,"Rote Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa Rojo (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, Rougehe (Sans Barrière)",Porta laterale singola leggera esterna Rosso (Senza Barriera),住宅用室外ドア（赤・サイド照明・シングル） (バリケードなし),빨간색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – Czerwony, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Красный одинарная входная дверь с окнами по бокам (Без Баррикады),Kırmızı Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),红色室外侧光单开门 (无障碍),紅色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSingleWhite_NoBarricade,blocks,block,,,White Exterior House Side Light Single Door (No Barricade),,"Weiße Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa Blanco (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, Blanche (Sans Barrière)",Porta laterale singola leggera esterna Bianco (Senza Barriera),住宅用室外ドア（白・サイド照明・シングル） (バリケードなし),흰색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – Biały, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Белый одинарная входная дверь с окнами по бокам (Без Баррикады),Beyaz Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),白色室外侧光单开门 (无障碍),白色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSingleYellow_NoBarricade,blocks,block,,,Yellow Exterior House Side Light Single Door (No Barricade),,"Gelbe Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa Amarillo (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, Jaunehe (Sans Barrière)",Porta laterale singola leggera esterna Giallo (Senza Barriera),住宅用室外ドア（黄色・サイド照明・シングル） (バリケードなし),노란색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – Żółty, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Жёлтый одинарная входная дверь с окнами по бокам (Без Баррикады),Sarı Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),黄色室外侧光单开门 (无障碍),黃色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightSingle_NoBarricadeBlockVariantHelper,blocks,block,,,Exterior House Side Light Single Door (No Barricade),,"Weiße Einzeltür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior individual de casa blanca (Sin Barricada),"Porte simple, lumière latérale, extérieur de maison, blanche (Sans Barrière)",Porta laterale singola leggera esterna bianca (Senza Barriera),住宅用室外ドア（白・サイド照明・シングル） (バリケードなし),흰색 외부 집 측면 조명 싱글 문 (방어막 없음),"Zewnętrzne drzwi do domu – białe, bok, lekkie, pojedyncze (Bez Wzmocnienia)",Porta única com vidro lateral de casa exterior branca (Sem Barreira),Белая одинарная входная дверь с окнами по бокам (Без Баррикады),Beyaz Dış Ev Kapısı Tekli Yan Lambası (Barikat Yok),白色室外侧光单开门 (无障碍),白色室外房屋側光單門 (無障礙)
JC_exteriorHouseDoorSideLightWhite_NoBarricade,blocks,block,,,White Exterior House Side Light Door (No Barricade),,"Weiße Tür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior de casa Blanco (Sin Barricada),"Porte, lumière latérale, extérieur de maison, Blanche (Sans Barrière)",Porta laterale leggera esterna Bianco (Senza Barriera),住宅用室外ドア（白・サイド照明） (バリケードなし),흰색 외부 집 측면 조명 문 (방어막 없음),"Zewnętrzne drzwi do domu – Biały, bok, lekkie (Bez Wzmocnienia)",Porta com vidro lateral de casa exterior branca (Sem Barreira),Белый входная дверь с окнами по бокам (Без Баррикады),Beyaz Dış Ev Kapısı Yan Lambası (Barikat Yok),白色室外侧光门 (无障碍),白色室外房屋側光門 (無障礙)
JC_exteriorHouseDoorSideLightYellow_NoBarricade,blocks,block,,,Yellow Exterior House Side Light Door (No Barricade),,"Gelbe Tür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior de casa Amarillo (Sin Barricada),"Porte, lumière latérale, extérieur de maison, Jaunehe (Sans Barrière)",Porta laterale leggera esterna Giallo (Senza Barriera),住宅用室外ドア（黄色・サイド照明） (バリケードなし),노란색 외부 집 측면 조명 문 (방어막 없음),"Zewnętrzne drzwi do domu – Żółty, bok, lekkie (Bez Wzmocnienia)",Porta com vidro lateral de casa exterior branca (Sem Barreira),Жёлтый входная дверь с окнами по бокам (Без Баррикады),Sarı Dış Ev Kapısı Yan Lambası (Barikat Yok),黄色室外侧光门 (无障碍),黃色室外房屋側光門 (無障礙)
JC_exteriorHouseDoorSideLight_NoBarricadeBlockVariantHelper,blocks,block,,,Exterior House Side Light Door (No Barricade),,"Weiße Tür, Hausaußenseite, leicht (Ohne Barrikade)",Ventana lateral de puerta exterior de casa blanca (Sin Barricada),"Porte, lumière latérale, extérieur de maison, blanche (Sans Barrière)",Porta laterale leggera esterna bianca (Senza Barriera),住宅用室外ドア（白・サイド照明） (バリケードなし),흰색 외부 집 측면 조명 문 (방어막 없음),"Zewnętrzne drzwi do domu – białe, bok, lekkie (Bez Wzmocnienia)",Porta com vidro lateral de casa exterior branca (Sem Barreira),Белая входная дверь с окнами по бокам (Без Баррикады),Beyaz Dış Ev Kapısı Yan Lambası (Barikat Yok),白色室外侧光门 (无障碍),白色室外房屋側光門 (無障礙)
JC_exteriorHouseDoorWhite_NoBarricade,blocks,block,,,White Exterior House Door (No Barricade),,"Weiße Tür, Hausaußenseite (Ohne Barrikade)",Puerta exterior de la casa Blanco (Sin Barricada),"Porte, extérieur de maison, Blanche (Sans Barrière)",Porta di casa esterna Bianco (Senza Barriera),住宅用室外ドア（白） (バリケードなし),흰색 외부 집 문 (방어막 없음),Zewnętrzne drzwi do domu – Biały (Bez Wzmocnienia),Porta exterior de casa branca (Sem Barreira),Белый входная дверь (Без Баррикады),Beyaz Dış Ev Kapısı (Barikat Yok),白色室外门 (无障碍),白色室外房屋門 (無障礙)
JC_exteriorHouseDoorYellow_NoBarricade,blocks,block,,,Yellow Exterior House Door (No Barricade),,"Gelbe Tür, Hausaußenseite (Ohne Barrikade)",Puerta exterior de la casa Amarillo (Sin Barricada),"Porte, extérieur de maison, Jaunehe (Sans Barrière)",Porta di casa esterna Giallo (Senza Barriera),住宅用室外ドア（黄色） (バリケードなし),노란색 외부 집 문 (방어막 없음),Zewnętrzne drzwi do domu – Żółty (Bez Wzmocnienia),Porta exterior de casa branca (Sem Barreira),Жёлтый входная дверь (Без Баррикады),Sarı Dış Ev Kapısı (Barikat Yok),黄色室外门 (无障碍),黃色室外房屋門 (無障礙)
JC_exteriorHouseDoor_NoBarricadeBlockVariantHelper,blocks,block,,,Exterior House Door (No Barricade),,"Weiße Tür, Hausaußenseite (Ohne Barrikade)",Puerta exterior de la casa blanca (Sin Barricada),"Porte, extérieur de maison, blanche (Sans Barrière)",Porta di casa esterna bianca (Senza Barriera),住宅用室外ドア（白） (バリケードなし),흰색 외부 집 문 (방어막 없음),Zewnętrzne drzwi do domu – białe (Bez Wzmocnienia),Porta exterior de casa branca (Sem Barreira),Белая входная дверь (Без Баррикады),Beyaz Dış Ev Kapısı (Barikat Yok),白色室外门 (无障碍),白色室外房屋門 (無障礙)
JC_frenchDoorBlue_NoBarricade,blocks,block,,,Blue French Door (No Barricade),,Blaue Fenstertür (Ohne Barrikade),Puerta francesa Azul (Sin Barricada),Porte-fenêtre Bleuhe (Sans Barrière),Porta alla francese Blu (Senza Barriera),フレンチドア（青） (バリケードなし),파란색 프렌치 도어 (방어막 없음),Drzwi francuskie – Niebieski (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Синий застекленная дверь (Без Баррикады),Mavi Camlı Kapı (Barikat Yok),蓝色落地窗 (无障碍),藍色法式門 (無障礙)
JC_frenchDoorBrown_NoBarricade,blocks,block,,,Brown French Door (No Barricade),,Braune Fenstertür (Ohne Barrikade),Puerta francesa Marrón (Sin Barricada),Porte-fenêtre Marronhe (Sans Barrière),Porta alla francese Marrone (Senza Barriera),フレンチドア（茶色） (バリケードなし),갈색 프렌치 도어 (방어막 없음),Drzwi francuskie – Brązowy (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Коричневый застекленная дверь (Без Баррикады),Kahverengi Camlı Kapı (Barikat Yok),棕色落地窗 (无障碍),棕色法式門 (無障礙)
JC_frenchDoorDoubleBlue_NoBarricade,blocks,block,,,Blue French Double Door (No Barricade),,Blaue Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Azul (Sin Barricada),Double porte-fenêtre Bleuhe (Sans Barrière),Porta doppia alla francese Blu (Senza Barriera),フレンチドア（青・ダブル） (バリケードなし),파란색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Niebieski, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Синий двойная застекленная дверь (Без Баррикады),Çift Kanatlı Mavi Camlı Kapı (Barikat Yok),蓝色双开落地窗 (无障碍),藍色法式雙門 (無障礙)
JC_frenchDoorDoubleBrown_NoBarricade,blocks,block,,,Brown French Double Door (No Barricade),,Braune Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Marrón (Sin Barricada),Double porte-fenêtre Marronhe (Sans Barrière),Porta doppia alla francese Marrone (Senza Barriera),フレンチドア（茶色・ダブル） (バリケードなし),갈색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Brązowy, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Коричневый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Kahverengi Camlı Kapı (Barikat Yok),棕色双开落地窗 (无障碍),棕色法式雙門 (無障礙)
JC_frenchDoorDoubleGreen_NoBarricade,blocks,block,,,Green French Double Door (No Barricade),,Grüne Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Verde (Sin Barricada),Double porte-fenêtre Verthe (Sans Barrière),Porta doppia alla francese Verde (Senza Barriera),フレンチドア（緑・ダブル） (バリケードなし),초록색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Zielony, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Зелёный двойная застекленная дверь (Без Баррикады),Çift Kanatlı Yeşil Camlı Kapı (Barikat Yok),绿色双开落地窗 (无障碍),綠色法式雙門 (無障礙)
JC_frenchDoorDoubleGrey_NoBarricade,blocks,block,,,Gray French Double Door (No Barricade),,Graue Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Gris (Sin Barricada),Double porte-fenêtre Grishe (Sans Barrière),Porta doppia alla francese Grigio (Senza Barriera),フレンチドア（灰色・ダブル） (バリケードなし),회색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Szary, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Серый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Gri Camlı Kapı (Barikat Yok),灰色双开落地窗 (无障碍),灰色法式雙門 (無障礙)
JC_frenchDoorDoubleOak_NoBarricade,blocks,block,,,White French Double Door (No Barricade),,Weiße Doppelfenstertür (Ohne Barrikade),Puerta francesa doble blanca (Sin Barricada),Double porte-fenêtre blanche (Sans Barrière),Porta doppia alla francese bianca (Senza Barriera),フレンチドア（白・ダブル） (バリケードなし),흰색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – białe, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Белая двойная застекленная дверь (Без Баррикады),Çift Kanatlı Beyaz Camlı Kapı (Barikat Yok),白色双开落地窗 (无障碍),白色法式雙門 (無障礙)
JC_frenchDoorDoubleOrange_NoBarricade,blocks,block,,,Orange French Double Door (No Barricade),,Orangee Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Naranja (Sin Barricada),Double porte-fenêtre Orangehe (Sans Barrière),Porta doppia alla francese Arancione (Senza Barriera),フレンチドア（オレンジ・ダブル） (バリケードなし),오렌지색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Pomarańczowy, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Оранжевый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Turuncu Camlı Kapı (Barikat Yok),橙色双开落地窗 (无障碍),橙色法式雙門 (無障礙)
JC_frenchDoorDoublePink_NoBarricade,blocks,block,,,Pink French Double Door (No Barricade),,Rosae Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Rosa (Sin Barricada),Double porte-fenêtre Rosehe (Sans Barrière),Porta doppia alla francese Rosa (Senza Barriera),フレンチドア（ピンク・ダブル） (バリケードなし),분홍색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Różowy, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Розовый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Pembe Camlı Kapı (Barikat Yok),粉色双开落地窗 (无障碍),粉紅色法式雙門 (無障礙)
JC_frenchDoorDoublePurple_NoBarricade,blocks,block,,,Purple French Double Door (No Barricade),,Lilae Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Púrpura (Sin Barricada),Double porte-fenêtre Violethe (Sans Barrière),Porta doppia alla francese Viola (Senza Barriera),フレンチドア（紫・ダブル） (バリケードなし),보라색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Fioletowy, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Фиолетовый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Mor Camlı Kapı (Barikat Yok),紫色双开落地窗 (无障碍),紫色法式雙門 (無障礙)
JC_frenchDoorDoubleRed_NoBarricade,blocks,block,,,Red French Double Door (No Barricade),,Rote Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Rojo (Sin Barricada),Double porte-fenêtre Rougehe (Sans Barrière),Porta doppia alla francese Rosso (Senza Barriera),フレンチドア（赤・ダブル） (バリケードなし),빨간색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Czerwony, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Красный двойная застекленная дверь (Без Баррикады),Çift Kanatlı Kırmızı Camlı Kapı (Barikat Yok),红色双开落地窗 (无障碍),紅色法式雙門 (無障礙)
JC_frenchDoorDoubleWhite_NoBarricade,blocks,block,,,White French Double Door (No Barricade),,Weiße Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Blanco (Sin Barricada),Double porte-fenêtre Blanche (Sans Barrière),Porta doppia alla francese Bianco (Senza Barriera),フレンチドア（白・ダブル） (バリケードなし),흰색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Biały, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Белый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Beyaz Camlı Kapı (Barikat Yok),白色双开落地窗 (无障碍),白色法式雙門 (無障礙)
JC_frenchDoorDoubleYellow_NoBarricade,blocks,block,,,Yellow French Double Door (No Barricade),,Gelbe Doppelfenstertür (Ohne Barrikade),Puerta francesa doble Amarillo (Sin Barricada),Double porte-fenêtre Jaunehe (Sans Barrière),Porta doppia alla francese Giallo (Senza Barriera),フレンチドア（黄色・ダブル） (バリケードなし),노란색 프렌치 이중문 (방어막 없음),"Drzwi francuskie – Żółty, podwójne (Bez Wzmocnienia)",Porta francesa dupla branca (Sem Barreira),Жёлтый двойная застекленная дверь (Без Баррикады),Çift Kanatlı Sarı Camlı Kapı (Barikat Yok),黄色双开落地窗 (无障碍),黃色法式雙門 (無障礙)
JC_frenchDoorGreen_NoBarricade,blocks,block,,,Green French Door (No Barricade),,Grüne Fenstertür (Ohne Barrikade),Puerta francesa Verde (Sin Barricada),Porte-fenêtre Verthe (Sans Barrière),Porta alla francese Verde (Senza Barriera),フレンチドア（緑） (バリケードなし),초록색 프렌치 도어 (방어막 없음),Drzwi francuskie – Zielony (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Зелёный застекленная дверь (Без Баррикады),Yeşil Camlı Kapı (Barikat Yok),绿色落地窗 (无障碍),綠色法式門 (無障礙)
JC_frenchDoorGrey_NoBarricade,blocks,block,,,Gray French Door (No Barricade),,Graue Fenstertür (Ohne Barrikade),Puerta francesa Gris (Sin Barricada),Porte-fenêtre Grishe (Sans Barrière),Porta alla francese Grigio (Senza Barriera),フレンチドア（灰色） (バリケードなし),회색 프렌치 도어 (방어막 없음),Drzwi francuskie – Szary (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Серый застекленная дверь (Без Баррикады),Gri Camlı Kapı (Barikat Yok),灰色落地窗 (无障碍),灰色法式門 (無障礙)
JC_frenchDoorOak_NoBarricade,blocks,block,,,White French Door (No Barricade),,Weiße Fenstertür (Ohne Barrikade),Puerta francesa blanca (Sin Barricada),Porte-fenêtre blanche (Sans Barrière),Porta alla francese bianca (Senza Barriera),フレンチドア（白） (バリケードなし),흰색 프렌치 도어 (방어막 없음),Drzwi francuskie – białe (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Белая застекленная дверь (Без Баррикады),Beyaz Camlı Kapı (Barikat Yok),白色落地窗 (无障碍),白色法式門 (無障礙)
JC_frenchDoorOrange_NoBarricade,blocks,block,,,Orange French Door (No Barricade),,Orangee Fenstertür (Ohne Barrikade),Puerta francesa Naranja (Sin Barricada),Porte-fenêtre Orangehe (Sans Barrière),Porta alla francese Arancione (Senza Barriera),フレンチドア（オレンジ） (バリケードなし),오렌지색 프렌치 도어 (방어막 없음),Drzwi francuskie – Pomarańczowy (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Оранжевый застекленная дверь (Без Баррикады),Turuncu Camlı Kapı (Barikat Yok),橙色落地窗 (无障碍),橙色法式門 (無障礙)
JC_frenchDoorPink_NoBarricade,blocks,block,,,Pink French Door (No Barricade),,Rosae Fenstertür (Ohne Barrikade),Puerta francesa Rosa (Sin Barricada),Porte-fenêtre Rosehe (Sans Barrière),Porta alla francese Rosa (Senza Barriera),フレンチドア（ピンク） (バリケードなし),분홍색 프렌치 도어 (방어막 없음),Drzwi francuskie – Różowy (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Розовый застекленная дверь (Без Баррикады),Pembe Camlı Kapı (Barikat Yok),粉色落地窗 (无障碍),粉紅色法式門 (無障礙)
JC_frenchDoorPurple_NoBarricade,blocks,block,,,Purple French Door (No Barricade),,Lilae Fenstertür (Ohne Barrikade),Puerta francesa Púrpura (Sin Barricada),Porte-fenêtre Violethe (Sans Barrière),Porta alla francese Viola (Senza Barriera),フレンチドア（紫） (バリケードなし),보라색 프렌치 도어 (방어막 없음),Drzwi francuskie – Fioletowy (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Фиолетовый застекленная дверь (Без Баррикады),Mor Camlı Kapı (Barikat Yok),紫色落地窗 (无障碍),紫色法式門 (無障礙)
JC_frenchDoorRed_NoBarricade,blocks,block,,,Red French Door (No Barricade),,Rote Fenstertür (Ohne Barrikade),Puerta francesa Rojo (Sin Barricada),Porte-fenêtre Rougehe (Sans Barrière),Porta alla francese Rosso (Senza Barriera),フレンチドア（赤） (バリケードなし),빨간색 프렌치 도어 (방어막 없음),Drzwi francuskie – Czerwony (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Красный застекленная дверь (Без Баррикады),Kırmızı Camlı Kapı (Barikat Yok),红色落地窗 (无障碍),紅色法式門 (無障礙)
JC_frenchDoorWhite_NoBarricade,blocks,block,,,White French Door (No Barricade),,Weiße Fenstertür (Ohne Barrikade),Puerta francesa Blanco (Sin Barricada),Porte-fenêtre Blanche (Sans Barrière),Porta alla francese Bianco (Senza Barriera),フレンチドア（白） (バリケードなし),흰색 프렌치 도어 (방어막 없음),Drzwi francuskie – Biały (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Белый застекленная дверь (Без Баррикады),Beyaz Camlı Kapı (Barikat Yok),白色落地窗 (无障碍),白色法式門 (無障礙)
JC_frenchDoorYellow_NoBarricade,blocks,block,,,Yellow French Door (No Barricade),,Gelbe Fenstertür (Ohne Barrikade),Puerta francesa Amarillo (Sin Barricada),Porte-fenêtre Jaunehe (Sans Barrière),Porta alla francese Giallo (Senza Barriera),フレンチドア（黄色） (バリケードなし),노란색 프렌치 도어 (방어막 없음),Drzwi francuskie – Żółty (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Жёлтый застекленная дверь (Без Баррикады),Sarı Camlı Kapı (Barikat Yok),黄色落地窗 (无障碍),黃色法式門 (無障礙)
JC_frenchDoor_NoBarricadeBlockVariantHelper,blocks,block,,,French Door (No Barricade),,Weiße Fenstertür (Ohne Barrikade),Puerta francesa blanca (Sin Barricada),Porte-fenêtre blanche (Sans Barrière),Porta alla francese bianca (Senza Barriera),フレンチドア（白） (バリケードなし),흰색 프렌치 도어 (방어막 없음),Drzwi francuskie – białe (Bez Wzmocnienia),Porta francesa branca (Sem Barreira),Белая застекленная дверь (Без Баррикады),Beyaz Camlı Kapı (Barikat Yok),白色落地窗 (无障碍),白色法式門 (無障礙)
JC_houseSlidingDoorBlack_NoBarricade,blocks,block,,,Black House Sliding Door (No Barricade),,Schwarze Haus-Schiebetür (Ohne Barrikade),Puerta corrediza de casa Negro (Sin Barricada),Porte coulissante de maison Noirhe (Sans Barrière),Porta scorrevole domestica Nero (Senza Barriera),住宅用スライドドア（黒） (バリケードなし),검은색 집 미닫이문 (방어막 없음),"Drzwi domowe – Czarny, przesuwane (Bez Wzmocnienia)",Porta corrediça de casa branca (Sem Barreira),Чёрный раздвижная дверь дома (Без Баррикады),Sürgülü Siyah Ev Kapısı (Barikat Yok),黑色家用推拉门 (无障碍),黑色房屋拉門 (無障礙)
JC_houseSlidingDoorWhite_NoBarricade,blocks,block,,,White House Sliding Door (No Barricade),,Weiße Haus-Schiebetür (Ohne Barrikade),Puerta corrediza de casa Blanco (Sin Barricada),Porte coulissante de maison Blanche (Sans Barrière),Porta scorrevole domestica Bianco (Senza Barriera),住宅用スライドドア（白） (バリケードなし),흰색 집 미닫이문 (방어막 없음),"Drzwi domowe – Biały, przesuwane (Bez Wzmocnienia)",Porta corrediça de casa branca (Sem Barreira),Белый раздвижная дверь дома (Без Баррикады),Sürgülü Beyaz Ev Kapısı (Barikat Yok),白色家用推拉门 (无障碍),白色房屋拉門 (無障礙)
JC_houseSlidingDoor_NoBarricadeBlockVariantHelper,blocks,block,,,House Sliding Door (No Barricade),,Weiße Haus-Schiebetür (Ohne Barrikade),Puerta corrediza de casa blanca (Sin Barricada),Porte coulissante de maison blanche (Sans Barrière),Porta scorrevole domestica bianca (Senza Barriera),住宅用スライドドア（白） (バリケードなし),흰색 집 미닫이문 (방어막 없음),"Drzwi domowe – białe, przesuwane (Bez Wzmocnienia)",Porta corrediça de casa branca (Sem Barreira),Белая раздвижная дверь дома (Без Баррикады),Sürgülü Beyaz Ev Kapısı (Barikat Yok),白色家用推拉门 (无障碍),白色房屋拉門 (無障礙)
JC_interiorDoorOldBlue_NoBarricade,blocks,block,,,Blue Interior Door Old (No Barricade),,Blaue Innentür – alt (Ohne Barrikade),Puerta interior Azul vieja (Sin Barricada),"Porte intérieure Bleuhe, ancienne (Sans Barrière)",Porta interna vecchia Blu (Senza Barriera),古い室内ドア（青） (バリケードなし),파란색 오래된 내부 문 (방어막 없음),"Wewnętrzne drzwi domowe – stare, Niebieski (Bez Wzmocnienia)",Porta velha interior branca (Sem Barreira),Старая Синий межкомнатная дверь (Без Баррикады),Mavi Eski İç Ev Kapısı (Barikat Yok),蓝色旧室内门 (无障碍),藍色室內舊門 (無障礙)
